medCodigo,medNombreGenerico,medFormaFarmaceutica,medConcentracion,medUnidadMedida,medRes008,medRes029,medRes5521,medRes5926,medRes5592
P01BF01,ARTEMETER + LUMENFANTRINE,"TABLETA CON O SIN  RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO, CÁPSULA",20 + 120 MG,,0,0,0,0,1
P01BE52161,ARTEMETER COMBINACIONES,TABLETA CON O SINR,20 + 120 MG,1,0,1,0,0,0
P01BE0301,ARTESUNATO,POLVO ESTÉRIL PARA INYECCIÓN,60 MG,,0,0,1,1,1
P01BE0302,ARTESUNATO,SUPOSITORIOS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
P01BE03531,ARTESUNATO,SUPOSITORIOS,,1,0,1,0,0,0
P01BE03701,ARTESUNATO,SOLUCIÓN INYECTABLE,60 MG,1,0,1,0,0,0
A11GA0101,ASCÓRBICO ÁCIDO,SOLUCIÓN INYECTABLE,100 MG/ ML (10%),,0,0,1,1,1
A11GA0102,ASCÓRBICO ÁCIDO,SOLUCIÓN ORAL,100 MG/ ML (10%),,0,0,1,1,1
A11GA0103,ASCÓRBICO ÁCIDO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A11GA031011,ASCÓRBICO ÁCIDO,TABLETA,500 MG ,,1,0,0,0,0
A11GA031201,ASCÓRBICO ÁCIDO,SOLUCIÓN ORAL,100 MG/ML ,,1,0,0,0,0
A11GA031701,ASCÓRBICO ÁCIDO,SOLUCIÓN INYECTABLE,500 MG/5 ML ,,1,0,0,0,0
L01CA032721,ASPARAGINASA,POLVO PARA INYECCIÓN,10.000 UI ,,1,0,0,0,0
L01XX0201,ASPARAGINASA,POLVO ESTÉRIL PARA INYECCIÓN,10.000 UI ,,0,0,1,1,1
L01XX02721,ASPARAGINASA, ESTÉRIL I,10.000 UI,1,0,1,0,0,0
J05AE0801,ATAZANAVIR,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J05AE08101,ATAZANAVIR,CÁPSULA,150 MG,1,0,1,0,0,0
J05AE08102,ATAZANAVIR,CÁPSULA,200 MG,2,0,1,0,0,0
J05AE08103,ATAZANAVIR,CÁPSULA,300MG,3,0,1,0,0,0
J05AA038101,ATAZANAVIR  **,CÁPSULA,150 MG ,,1,0,0,0,0
J05AA038102,ATAZANAVIR  **,CÁPSULA,200 MG ,,1,0,0,0,0
C10AA0501,ATORVASTATINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C10AA05161,ATORVASTATINA,TABLETA CON O SIN RE,10MG,1,0,1,0,0,0
C10AA05162,ATORVASTATINA,TABLETA CON O SIN RE,20MG,2,0,1,0,0,0
C10AA05163,ATORVASTATINA,TABLETA CON O SIN RE,40MG,3,0,1,0,0,0
A03BA01701,ATROPINA,SOLUCIÓN INYECTABLE,1 MG/ML,1,0,1,0,0,0
S01FA01602,ATROPINA,SOLUCIÓN OFTÁLMICA,10 MG/ML (1%),2,0,1,0,0,0
A03BA0101,ATROPINA SULFATO,SOLUCIÓN INYECTABLE,"1 MG/ML (0,1 %)",,0,0,1,1,1
N07AA033701,ATROPINA SULFATO,SOLUCIÓN INYECTABLE,1 MG/ML ,,1,0,0,0,0
S01FA0101,ATROPINA SULFATO,SOLUCIÓN OFTÁLMICA,10 MG/ML (1%),,0,0,1,1,1
S01FA033601,ATROPINA SULFATO,SOLUCIÓN OFTÁLMICA,"5 MG/ML (0,5%) ",,1,0,0,0,0
S01FA033602,ATROPINA SULFATO,SOLUCIÓN OFTÁLMICA,10 MG/ML (1%) ,,1,0,0,0,0
L04AA034011,AZATIOPRINA,TABLETA,50 MG ,,1,0,0,0,0
L04AX0101,AZATIOPRINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
L04AX01011,AZATIOPRINA,TABLETA CON O SIN RE,50 MG,1,0,1,0,0,0
J01FA1001,AZITROMICINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J01FA1002,AZITROMICINA,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,200 MG/5 ML (4%) ,,0,0,1,1,1
J01FA10161,AZITROMICINA,TABLETA CON O SIN RE,1 G,1,0,1,0,0,0
J01FA10162,AZITROMICINA,TABLETA CON O SIN RE,500 MG,2,0,1,0,0,0
J01FA10231,AZITROMICINA, RECONSTIT,200MG/5 ML (4%),1,0,1,0,0,0
J01DA035721,AZTREONAM,POLVO PARA INYECCIÓN,"0,5 G ",,1,0,0,0,0
J01DA035722,AZTREONAM,POLVO PARA INYECCIÓN,1 G ,,1,0,0,0,0
J01DF0101,AZTREONAM,POLVO ESTÉRIL PARA INYECCIÓN,1 G,,0,0,1,1,1
J01DF01722,AZTREONAM, ESTÉRIL I,1 G,2,0,1,0,0,0
V03AA036701,AZUL DE METILENO,SOLUCIÓN INYECTABLE,10 MG/ML ,,1,0,0,0,0
V03AB1701,AZUL DE METILENO,SOLUCIÓN INYECTABLE,10 MG/ML (1%),,0,0,1,1,1
V08BA0101,BARIO SULFATO,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL Ó SUSPENSIÓN ORAL. ,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
V08BB001251,BARIO SULFATO,ORAL,,,1,0,0,0,0
R01AD01451,BECLOMETASONA,SOLUCIÓN O SUSPENSIÓ,50 MCG/DOSIS,1,0,1,0,0,0
R01AD01452,BECLOMETASONA,SOLUCIÓN O SUSPENSIÓ,250 MCG/DOSIS,2,0,1,0,0,0
R03BA01451,BECLOMETASONA,SOLUCIÓN O SUSPENSIÓ,50 MCG/DOSIS,1,0,1,0,0,0
R03BA01452,BECLOMETASONA,SOLUCIÓN O SUSPENSIÓ,250 MCG/DOSIS,2,0,1,0,0,0
R01AD0101,BECLOMETASONA DIPROPIONATO,SOLUCIÓN O SUSPENSIÓN PARA INHALACIÓN (AEROSOL) NASAL O BUCAL,250 MCG/DOSIS ,,0,0,1,1,1
R01AD0102,BECLOMETASONA DIPROPIONATO,SOLUCIÓN O SUSPENSIÓN PARA INHALACIÓN (AEROSOL) NASAL O BUCAL,50 MCG/DOSIS ,,0,0,1,1,1
R03BA0101,BECLOMETASONA DIPROPIONATO,SOLUCIÓN O SUSPENSIÓN PARA INHALACIÓN (AEROSOL) NASAL O BUCAL ,250 MCG/DOSIS ,,0,0,1,1,1
R03BA0102,BECLOMETASONA DIPROPIONATO,SOLUCIÓN O SUSPENSIÓN PARA INHALACIÓN (AEROSOL) NASAL O BUCAL,50 MCG/DOSIS ,,0,0,1,1,1
R03BB002451,BECLOMETASONA DIPROPIONATO,SOLUCIÓN INHALACIÓN ,50 MCG/DOSIS  ,,1,0,0,0,0
R03BB002452,BECLOMETASONA DIPROPIONATO,SOLUCIÓN INHALACIÓN ,250 MCG/DOSIS  ,,1,0,0,0,0
P03AB003371,BENCILO BENZOATO,LOCIÓN,25%,,1,0,0,0,0
P03AX0101,BENCILO BENZOATO,LOCIÓN,"0,25",,0,0,1,1,1
J01CE01721,BENCILPENICILINA, ESTÉRIL I,1.000.000 UI,1,0,1,0,0,0
J01CE01722,BENCILPENICILINA, ESTÉRIL I,5.000.000 UI,2,0,1,0,0,0
J01CE08721,BENCILPENICILINA BENZATÍNICA, ESTÉRIL I,1.200.000 UI,1,0,1,0,0,0
J01CE08722,BENCILPENICILINA BENZATÍNICA, ESTÉRIL I,2.400.000 UI,2,0,1,0,0,0
J01CE09721,BENCILPENICILINA PROCAÍNICA, ESTÉRIL I,400.000 UI,1,0,1,0,0,0
J01CE09722,BENCILPENICILINA PROCAÍNICA, ESTÉRIL I,800.000 UI,2,0,1,0,0,0
P03AX01371,BENZOATO DE BENCILO,LOCIÓN,25%,1,0,1,0,0,0
P01CA0201,BENZONIDAZOL,SUSPENSIÓN ORAL,100MG/  ML ,,0,0,1,1,1
P01CA02011,BENZONIDAZOL,TABLETA,100 MG,1,0,1,0,0,0
P01CA0202,BENZONIDAZOL,TABLETA,100 MG,,0,0,1,1,1
P01CA02231,BENZONIDAZOL,ORAL,100MG/  ML,1,0,1,0,0,0
D07AB004321,BETAMETASONA,,"0,05%",,1,0,0,0,0
D07AB004332,BETAMETASONA,UNGÜENTO,"0,05%",,1,0,0,0,0
D07AC0101,BETAMETASONA,CREMA,"0,0005",,0,0,1,1,1
D07AC0102,BETAMETASONA,UNGÜENTO,"0,0005",,0,0,1,1,1
D07AC01321,BETAMETASONA,,"0,05%",1,0,1,0,0,0
D07AC01332,BETAMETASONA,UNGÜENTO,"0,05%",2,0,1,0,0,0
H02AB01701,BETAMETASONA,SOLUCIÓN INYECTABLE,4 MG/ML DE BASE,1,0,1,0,0,0
H02AB01711,BETAMETASONA, INYECTABL,(3 MG DE BASE + 3 MG,1,0,1,0,0,0
H02AB005701,BETAMETASONA (FOSFATO DISÓDICO),SOLUCIÓN INYECTABLE,4 MG/ML DE BASE ,,1,0,0,0,0
H02AB0101,BETAMETASONA (FOSFATO DISÓDICO),SOLUCIÓN INYECTABLE,"4 MG/ML DE BASE  (0,4%)",,0,0,1,1,1
H02AB006711,BETAMETASONA FOSFATO + BETAMETASONA ACETATO,SUSPENSIÓN INYECTABLE,(3 MG DE BASE + 3 MG)/ML  ,,1,0,0,0,0
H02AB0102,BETAMETASONA FOSFATO + BETAMETASONA ACETATO,SUSPENSIÓN INYECTABLE,(3 MG DE BASE + 3 MG)/ML ,,0,0,1,1,1
C01AA0801,BETAMETIL DIGOXINA,SOLUCIÓN INYECTABLE,"0,1 MG/ML (0,01%)",,0,0,1,1,1
C01AA0802,BETAMETIL DIGOXINA,SOLUCIÓN ORAL,"0,60 MG/ML (0,060%) ",,0,0,1,1,1
C01AA0803,BETAMETIL DIGOXINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C01AB007701,BETAMETIL DIGOXINA,SOLUCIÓN INYECTABLE,"0,2 MG/2 ML ",,1,0,0,0,0
L01XC0701,BEVACIZUMAB,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,0,1,1
L01XY0701,BEVACIZUMAB,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,0,0
L02BB0301,BICALUTAMIDA,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
B05XA02701,BICARBONATO DE SODIO,SOLUCIÓN INYECTABLE,10 MEQ / 10 ML,1,0,1,0,0,0
N04AA02011,BIPERIDENO,TABLETA,2 MG,1,0,1,0,0,0
N04AA02701,BIPERIDENO,SOLUCIÓN INYECTABLE,5 MG/ML,1,0,1,0,0,0
N04AA0201,BIPERIDENO CLORHIDRATO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
N04BB008011,BIPERIDENO CLORHIDRATO,TABLETA,2 MG ,,1,0,0,0,0
N04AA0202,BIPERIDENO LACTATO,SOLUCIÓN INYECTABLE,"5 MG/ML (0,5%)",,0,0,1,1,1
N04BB009701,BIPERIDENO LACTATO,SOLUCIÓN INYECTABLE,5 MG/ML ,,1,0,0,0,0
A06AB010021,BISACODILO,GRAGEA,5 MG ,,1,0,0,0,0
A06AB0201,BISACODILO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A06AB02021,BISACODILO,TABLETA CON O SIN RE,5 MG,1,0,1,0,0,0
L01DC01721,BLEOMICINA, ESTÉRIL I,15 UI DE BASE,1,0,1,0,0,0
L01DB011721,BLEOMICINA (SULFATO),POLVO PARA INYECCIÓN,15 UI DE BASE ,,1,0,0,0,0
L01DC0101,BLEOMICINA (SULFATO),POLVO ESTÉRIL PARA INYECCIÓN,15 UI DE BASE ,,0,0,1,1,1
C02KX0101,BOSENTÁN,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C02KX01161,BOSENTÁN,TABLETA CON O SIN RE,"62,5MG",1,0,1,0,0,0
C02KX01162,BOSENTÁN,TABLETA CON O SIN RE,125MG,2,0,1,0,0,0
S01EA0501,BRIMONIDINA TARTRATO,SOLUCIÓN OFTÁLMICA,"2 MG/ML (0,2%)",,0,0,1,1,1
S01EA05601,BRIMONIDINA TARTRATO,SOLUCIÓN OFTÁLMICA,"2MG/ML (0,2%)",1,0,1,0,0,0
G02CB0101,BROMOCRIPTINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
G02CB01161,BROMOCRIPTINA,TABLETA CON O SIN RE,"2,5 MG",1,0,1,0,0,0
G02CB012011,BROMOCRIPTINA,TABLETA,"2,5 MG ",,1,0,0,0,0
N04BC0101,BROMOCRIPTINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
N04BC01011,BROMOCRIPTINA,TABLETA CON O SIN RE,"2,5 MG",1,0,1,0,0,0
N01BB01701,BUPIVACAÍNA,SOLUCIÓN INYECTABLE,50 MG/10 ML (0.5%),1,0,1,0,0,0
N01BB5102,BUPIVACAÍNA CLORHIDRATO CON DEXTROSA,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS DE ADMINISTRACION PARENTERAL,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,0,0,1
N01BB013701,BUPIVACAÍNA CLORHIDRATO CON O SIN EPINEFRINA,SOLUCIÓN INYECTABLE,50 MG/10 ML (0.5%) ,,1,0,0,0,0
N01BB5101,BUPIVACAÍNA CLORHIDRATO CON O SIN EPINEFRINA,SOLUCIÓN INYECTABLE,"5 MG/ML (0,5%)",,0,0,1,1,1
N01BB0101,BUPIVACAÍNA CLORHIDRATO SIN PRESERVATIVOS,SOLUCIÓN INYECTABLE,"5 MG/ML (0,5%)",,0,0,1,1,1
N01BB014701,BUPIVACAÍNA CLORHIDRATO SIN PRESERVATIVOS,SOLUCIÓN INYECTABLE,50 MG/10 ML (0.5%) ,,1,0,0,0,0
N01BB51701,"BUPIVACAÍNA, COMBINACIONES",SOLUCIÓN INYECTABLE,50 MG/10 ML (0.5%),1,0,1,0,0,0
L01AB015011,BUSULFAN,TABLETA,2 MG ,,1,0,0,0,0
L01AB0101,BUSULFAN ,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
L01AB01011,BUSULFANO,TABLETA CON O SIN RE,2 MG,1,0,1,0,0,0
A03BB01021,BUTILESCOPOLAMINA,TABLETAS CON O SIN R,10 MG,1,0,1,0,0,0
A03BB01701,BUTILESCOPOLAMINA,SOLUCIÓN INYECTABLE,20 MG/ML,1,0,1,0,0,0
A03DB04701,BUTILESCOPOLAMINA Y ANALGÉSICO,SOLUCIÓN INYECTABLE,"(0,020 + 2,5)G/5 ML",1,0,1,0,0,0
A12AA20011,CALCIO (DIFERENTES SALES EN CO,TABLETA,500-600 MG COMO CALC,1,0,1,0,0,0
A12AA0401,CALCIO CARBONATO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A12AC001011,CALCIO CARBONATO,TABLETA,"600 MG COMO CALCIO, ",,1,0,0,0,0
A12AA2001,CALCIO CARBONATO + VITAMINA D,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A12AC046011,CALCIO CARBONATO + VITAMINA D  **,TABLETAS,500-600 MG CALCIO S Y 200 UI VITAMINA D,,1,0,0,0,0
A12AA0301,CALCIO GLUCONATO,SOLUCIÓN INYECTABLE,"0,1",,0,0,1,1,1
A12AC002701,CALCIO GLUCONATO,SOLUCIÓN INYECTABLE,10%,,1,0,0,0,0
V03AC002341,CALCIO GLUCONATO,GEL,"2,5% GEL",,1,0,0,0,0
A11CC003101,CALCITRIOL,CÁPSULA,"0,25 MCG",,1,0,0,0,0
A11CC003102,CALCITRIOL,CÁPSULA,"0,50 MCG",,1,0,0,0,0
A11CC0401,CALCITRIOL,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A11CC04101,CALCITRIOL,CÁPSULA,"0,25 MCG",1,0,1,0,0,0
A11CC04102,CALCITRIOL,CÁPSULA,"0,50 MCG",2,0,1,0,0,0
L01BC0601,CAPECITABINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
L01BC06011,CAPECITABINA,TABLETA,500MG,1,0,1,0,0,0
L01BC0602,CAPECITABINA,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,0
C09AA0101,CAPTOPRIL,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C09AA01011,CAPTOPRIL,TABLETA,25 MG,1,0,1,0,0,0
C09AA01012,CAPTOPRIL,TABLETA,50 MG,2,0,1,0,0,0
C09AC004011,CAPTOPRIL,TABLETA,25 MG ,,1,0,0,0,0
C09AC004012,CAPTOPRIL,TABLETA,50 MG ,,1,0,0,0,0
N03AC005011,CARBAMAZEPINA,TABLETA,200 MG ,,1,0,0,0,0
N03AC005231,CARBAMAZEPINA,ORAL,100 MG/5 ML ,,1,0,0,0,0
N03AF0101,CARBAMAZEPINA,SUSPENSIÓN ORAL,100 MG/5 ML  (2%),,0,0,1,1,1
N03AF01011,CARBAMAZEPINA,TABLETA CON O SIN RE,200 MG,1,0,1,0,0,0
N03AF0102,CARBAMAZEPINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
N03AF01231,CARBAMAZEPINA,ORAL,100 MG/5 ML,1,0,1,0,0,0
B05BA03701,CARBOHIDRATOS,SOLUCIÓN INYECTABLE,5%,1,0,1,0,0,0
B05BA03702,CARBOHIDRATOS,SOLUCIÓN INYECTABLE,"5% + 0,9%",2,0,1,0,0,0
B05BA03703,CARBOHIDRATOS,SOLUCIÓN INYECTABLE,10%,3,0,1,0,0,0
B05BA03704,CARBOHIDRATOS,SOLUCIÓN INYECTABLE,33%,4,0,1,0,0,0
B05BA03705,CARBOHIDRATOS,SOLUCIÓN INYECTABLE,55 G/100 ML O AL 50%,5,0,1,0,0,0
A07BA0101,CARBÓN ACTIVADO,POLVO,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A07BC006251,CARBÓN ACTIVADO,,,,1,0,0,0,0
A07BA01251,CARBÓN MEDICINAL,,,1,0,1,0,0,0
A12AA04011,CARBONATO DE CALCIO,TABLETA,600 MG COMO CALCIO,1,0,1,0,0,0
L01XA0201,CARBOPLATINO,"POLVO ESTÉRIL PARA INYECCIÓN, SOLUCIÓN INYECTABLE, SUSPENSIÓN INYECTABLE","450 MG, 450 MG/45 ML",,0,0,1,1,1
L01XA02721,CARBOPLATINO, ESTÉRIL I,450 MG,1,0,1,0,0,0
L01XC007721,CARBOPLATINO,POLVO PARA INYECCIÓN,450 MG ,,1,0,0,0,0
C07AG0201,CARVEDILOL,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C07AG02161,CARVEDILOL,TABLETA CON O SIN RE,"6,25 MG",1,0,1,0,0,0
C07AG02162,CARVEDILOL,TABLETA CON O SIN RE,"12,5 MG",2,0,1,0,0,0
C07AG02163,CARVEDILOL,TABLETA CON O SIN RE,25 MG,3,0,1,0,0,0
J02AX0401,CASPOFUNGINA,POLVO ESTÉRIL PARA INYECCIÓN,50 MG,,0,0,1,1,1
J02AX0402,CASPOFUNGINA,POLVO ESTÉRIL PARA INYECCIÓN,70 MG,,0,0,1,1,0
J02AX04721,CASPOFUNGINA, ESTÉRIL I,50 MG,1,0,1,0,0,0
J02AX04722,CASPOFUNGINA, ESTÉRIL I,70 MG,2,0,1,0,0,0
J01DB0101,CEFALEXINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J01DB0102,CEFALEXINA,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,"125 MG/5 ML (2,5%)",,0,0,1,1,1
J01DB0103,CEFALEXINA,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,250 MG/5 ML (5%) ,,0,0,1,1,1
J01DB01142,CEFALEXINA,CÁPSULA O TABLETA,500 MG,2,0,1,0,0,0
J01DB01231,CEFALEXINA, RECONSTIT,"125 MG/5 ML (2,5%)",1,0,1,0,0,0
J01DB01232,CEFALEXINA, RECONSTIT,250 MG/5 ML (5%),2,0,1,0,0,0
J01DC008141,CEFALEXINA,TABLETA O CÁPSULA,250 MG,,1,0,0,0,0
J01DC008142,CEFALEXINA,TABLETA O CÁPSULA,500 MG,,1,0,0,0,0
J01DC008231,CEFALEXINA,ORAL,"125 MG/5 ML (2,5%) ",,1,0,0,0,0
J01DC008232,CEFALEXINA,ORAL,250 MG/5 ML (5%) ,,1,0,0,0,0
J01DB0301,CEFALOTINA,POLVO ESTÉRIL PARA INYECCIÓN,1 G ,,0,0,1,1,1
J01DB03721,CEFALOTINA, ESTÉRIL I,1 G,1,0,1,0,0,0
J01DC043721,CEFALOTINA, ,1 G  PARA RECONSTITUIR,,1,0,0,0,0
J01DB0401,CEFAZOLINA,POLVO ESTÉRIL PARA INYECCIÓN,1 G ,,0,0,1,1,1
J01DB04721,CEFAZOLINA, ESTÉRIL I,1 G,1,0,1,0,0,0
J01DC044721,CEFAZOLINA, ,1 G  PARA RECONSTITUIR,,1,0,0,0,0
J01DE0101,CEFEPIMA,POLVO ESTÉRIL PARA INYECCIÓN,1 G,,0,0,1,1,1
J01DE0102,CEFEPIMA,POLVO ESTÉRIL PARA INYECCIÓN,2 G,,0,0,1,1,0
J01DE01721,CEFEPIMA, ESTÉRIL I,1G,1,0,1,0,0,0
J01DE01722,CEFEPIMA, ESTÉRIL I,2G,2,0,1,0,0,0
J01DB0901,CEFRADINA,POLVO ESTÉRIL PARA INYECCIÓN,1 G ,,0,0,1,1,1
J01DC009141,CEFRADINA,TABLETA O CÁPSULA,500 MG,,1,0,0,0,0
J01DC009722,CEFRADINA, ,1 G  PARA RECONSTITUIR,,1,0,0,0,0
J01DB0902,CEFRADINA ,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J01DB09141,CEFRADRINA,CÁPSULA O TABLETA,500 MG,1,0,1,0,0,0
J01DB09722,CEFRADRINA, ESTÉRIL I,1 G,2,0,1,0,0,0
J01DD04722,CEFTRIAXONA, ESTÉRIL I,500 MG,2,0,1,0,0,0
J01DD04723,CEFTRIAXONA, ESTÉRIL I,1 G,3,0,1,0,0,0
J01DC011722,CEFTRIAXONA (SAL SÓDICA),POLVO PARA INYECCIÓN,500 MG ,,1,0,0,0,0
J01DC011723,CEFTRIAXONA (SAL SÓDICA),POLVO PARA INYECCIÓN,1 G ,,1,0,0,0,0
J01DD0401,CEFTRIAXONA (SAL SÓDICA),POLVO ESTÉRIL PARA INYECCIÓN,1 G ,,0,0,1,1,1
J01DD0402,CEFTRIAXONA (SAL SÓDICA),POLVO ESTÉRIL PARA INYECCIÓN,500 MG ,,0,0,1,1,0
J01DC0201,CEFUROXIMA,POLVO ESTÉRIL PARA INYECCIÓN,750 MG ,,0,0,1,1,1
J01DC0202,CEFUROXIMA,SUSPENSIÓN ORAL,250 MG/5ML (5%),,0,0,1,1,1
J01DC0203,CEFUROXIMA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J01DC02161,CEFUROXIMA,TABLETA CON O SIN RE,500 MG,1,0,1,0,0,0
J01DC02231,CEFUROXIMA,ORAL,250 MG/5ML,1,0,1,0,0,0
J01DC02721,CEFUROXIMA, ESTÉRIL I,750 MG,1,0,1,0,0,0
L04AB0501,CERTOLIZUMAB PEGOL,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
B03BA0101,CIANOCOBALAMINA,SOLUCIÓN INYECTABLE,"1 MG/ML (0,1 %)",,0,0,1,1,1
B03BA01701,CIANOCOBALAMINA,SOLUCIÓN INYECTABLE,1 MG/ML,1,0,1,0,0,0
B03BC012701,CIANOCOBALAMINA,SOLUCIÓN INYECTABLE,1 MG/ML ,,1,0,0,0,0
L01AA0101,CICLOFOSFAMIDA,POLVO ESTÉRIL PARA INYECCIÓN,1 G ,,0,0,1,1,1
L01AA01011,CICLOFOSFAMIDA,TABLETA CON O SIN RE,50 MG,1,0,1,0,0,0
L01AA0102,CICLOFOSFAMIDA,POLVO ESTÉRIL PARA INYECCIÓN,500 MG ,,0,0,1,1,0
L01AA0103,CICLOFOSFAMIDA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
L01AA01721,CICLOFOSFAMIDA, ESTÉRIL I,500 MG,1,0,1,0,0,0
L01AA01722,CICLOFOSFAMIDA, ESTÉRIL I,1 G,2,0,1,0,0,0
L01AC013011,CICLOFOSFAMIDA,TABLETA,50 MG ,,1,0,0,0,0
